id,lbl,definition
GO:0042597,periplasmic space,The region between the inner (cytoplasmic) and outer membrane (Gram-negative Bacteria) or cytoplasmic membrane and cell wall (Fungi and Gram-positive Bacteria).
GO:0042910,xenobiotic transmembrane transporter activity,Enables the directed movement of a xenobiotic from one side of a membrane to the other. A xenobiotic is a compound foreign to the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.
GO:0043167,ion binding,"Binding to an ion, a charged atoms or groups of atoms."
GO:0043190,ATP-binding cassette (ABC) transporter complex,"A complex for the transport of metabolites into and out of the cell, typically comprised of four domains; two membrane-associated domains and two ATP-binding domains at the intracellular face of the membrane, that form a central pore through the plasma membrane. Each of the four core domains may be encoded as a separate polypeptide or the domains can be fused in any one of a number of ways into multidomain polypeptides. In Bacteria and Archaebacteria, ABC transporters also include substrate binding proteins to bind substrate external to the cytoplasm and deliver it to the transporter."
GO:0043934,sporulation,"The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction."
GO:0044281,small molecule metabolic process,"The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0044423,virion component,"Any constituent part of a virion, a complete fully infectious extracellular virus particle."
GO:0045454,cell redox homeostasis,Any process that maintains the redox environment of a cell or compartment within a cell.
GO:0046718,symbiont entry into host cell,The process by which a symbiont breaches the plasma membrane or cell envelope and enters the host cell. The process ends when the symbiont or its genome is released into the host cell.
GO:0046872,metal ion binding,Binding to a metal ion.
GO:0046906,tetrapyrrole binding,"Binding to a tetrapyrrole, a compound containing four pyrrole nuclei variously substituted and linked to each other through carbons at the alpha position."
GO:0048500,signal recognition particle,A complex of protein and RNA which facilitates translocation of proteins across membranes.
GO:0051536,iron-sulfur cluster binding,"Binding to an iron-sulfur cluster, a combination of iron and sulfur atoms."
GO:0065003,protein-containing complex assembly,"The aggregation, arrangement and bonding together of a set of macromolecules to form a protein-containing complex."
GO:0071103,DNA conformation change,"A cellular process that results in a change in the spatial configuration of a DNA molecule. A conformation change can bend DNA, or alter the, twist, writhe, or linking number of a DNA molecule."
GO:0071840,cellular component organization or biogenesis,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO:0071973,bacterial-type flagellum-dependent cell motility,Cell motility due to the motion of one or more bacterial-type flagella. A bacterial-type flagellum is a motor complex composed of an extracellular helical protein filament coupled to a rotary motor embedded in the cell envelope.
GO:0098796,membrane protein complex,Any protein complex that is part of a membrane.
GO:1902494,catalytic complex,A protein complex which is capable of catalytic activity.
GO:1990204,oxidoreductase complex,Any protein complex that possesses oxidoreductase activity.
GO:0000910,cytokinesis,The division of the cytoplasm and the plasma membrane of a cell and its partitioning into two daughter cells.
GO:0003677,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0003723,RNA binding,Binding to an RNA molecule or a portion thereof.
GO:0003774,cytoskeletal motor activity,"Generation of force resulting in movement, for example along a microfilament or microtubule, or in torque resulting in membrane scission or rotation of a flagellum. The energy required is obtained either from the hydrolysis of a nucleoside triphosphate or by an electrochemical proton gradient (proton-motive force)."
GO:0003924,GTPase activity,Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.
GO:0005198,structural molecule activity,The action of a molecule that contributes to the structural integrity of a complex.
GO:0005615,extracellular space,"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
GO:0005856,cytoskeleton,"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
GO:0006260,DNA replication,"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."
GO:0006281,DNA repair,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
GO:0006310,DNA recombination,"Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."
GO:0006355,regulation of DNA-templated transcription,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
GO:0006486,protein glycosylation,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
GO:0006520,amino acid metabolic process,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups."
GO:0006575,cellular modified amino acid metabolic process,"The chemical reactions and pathways involving compounds derived from amino acids, organic acids containing one or more amino substituents."
GO:0006790,sulfur compound metabolic process,"The chemical reactions and pathways involving the nonmetallic element sulfur or compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."
GO:0006886,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
GO:0007010,cytoskeleton organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."
GO:0007059,chromosome segregation,"The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."
GO:0007163,establishment or maintenance of cell polarity,"Any cellular process that results in the specification, formation or maintenance of anisotropic intracellular organization or cell growth patterns."
GO:0008092,cytoskeletal protein binding,"Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."
GO:0008289,lipid binding,Binding to a lipid.
GO:0009279,cell outer membrane,A lipid bilayer that forms the outermost membrane of the cell envelope; enriched in polysaccharide and protein; the outer leaflet of the membrane contains specific lipopolysaccharide structures.
GO:0009975,cyclase activity,Catalysis of a ring closure reaction.
GO:0012501,programmed cell death,A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.
GO:0016071,mRNA metabolic process,"The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."
GO:0023052,signaling,The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered.
GO:0030030,cell projection organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."
GO:0030163,protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."
GO:0031012,extracellular matrix,"A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."
GO:0031386,protein tag activity,"A molecular function exhibited by a protein that is covalently attached (AKA tagged or conjugated) to another protein where it acts as a marker, recognized by the cellular apparatus to target the tagged protein for some cellular process such as modification, sequestration, transport or degradation."
GO:0033013,tetrapyrrole metabolic process,"The chemical reactions and pathways involving tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next."
GO:0036211,protein modification process,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
GO:0036386,bacterial nucleoid packaging,"A process in which chromosomal DNA and associated proteins organize into a compact, orderly bacterial nucleoid. Often resulting in DNA supercoiling."
GO:0040033,sRNA-mediated post-transcriptional gene silencing,A post-transcriptional gene silencing pathway mediated by the action of small regulatory non-coding RNAs (sRNAs). sRNAs are 20-500 nucleotides in length and found in bacteria.
GO:0042178,xenobiotic catabolic process,"The chemical reactions and pathways resulting in the breakdown of a xenobiotic compound, a compound foreign to the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."
GO:0042254,ribosome biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
GO:0042393,histone binding,"Binding to a histone, any of a group of water-soluble proteins found in association with the DNA of eukaryotic or archaeal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in gene regulation and DNA replication. They may be chemically modified (methylated, acetlyated and others) to regulate gene transcription."
GO:0042995,cell projection,"A prolongation or process extending from a cell, e.g. a flagellum or axon."
GO:0043062,extracellular structure organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."
GO:0043226,organelle,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO:0043590,bacterial nucleoid,The region of a bacterial cell to which the DNA is confined.
GO:0044183,protein folding chaperone,Binding to a protein or a protein-containing complex to assist the protein folding process.
GO:0044283,small molecule biosynthetic process,"The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0044550,secondary metabolite biosynthetic process,"The chemical reactions and pathways resulting in the formation of secondary metabolites, the compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon."
GO:0045182,translation regulator activity,"Any molecular function involved in the initiation, activation, perpetuation, repression or termination of polypeptide synthesis at the ribosome."
GO:0045735,nutrient reservoir activity,Functions in the storage of nutritious substrates.
